IATA,Name,City,Official Country Name
BLA,General Jose Antonio Anzoategui International Airport,Barcelona,Bolivarian Republic of Venezuela
BNS,Barinas Airport,Barinas,Bolivarian Republic of Venezuela
BRM,Barquisimeto International Airport,Barquisimeto,Bolivarian Republic of Venezuela
MYC,Escuela Mariscal Sucre Airport,Maracay,Bolivarian Republic of Venezuela
CUV,Casigua El Cubo Airport,Casigua El Cubo,Bolivarian Republic of Venezuela
CLZ,Calabozo Airport,Guarico,Bolivarian Republic of Venezuela
CAJ,Canaima Airport,Canaima,Bolivarian Republic of Venezuela
VCR,Carora Airport,Carora,Bolivarian Republic of Venezuela
CUP,General Francisco Bermudez Airport,Carupano,Bolivarian Republic of Venezuela
CZE,Jose Leonardo Chirinos Airport,Coro,Bolivarian Republic of Venezuela
EOR,El Dorado Airport,Bolivar,Bolivarian Republic of Venezuela
GUQ,Guanare Airport,Guanare,Bolivarian Republic of Venezuela
ICC,Andres Miguel Salazar Marcano Airport,Isla de Coche,Bolivarian Republic of Venezuela
LSP,Josefa Camejo International Airport,Paraguana,Bolivarian Republic of Venezuela
MAR,La Chinita International Airport,Maracaibo,Bolivarian Republic of Venezuela
MRD,Alberto Carnevalli Airport,Merida,Bolivarian Republic of Venezuela
PMV,Del Caribe Santiago Marino International Airport,Isla Margarita,Bolivarian Republic of Venezuela
CCS,Maiquetia (Simon Bolivar Internacional) Airport,Caracas,Bolivarian Republic of Venezuela
CBS,Oro Negro Airport,Cabimas,Bolivarian Republic of Venezuela
PZO,General Manuel Carlos Piar International Airport,Puerto Ordaz-Ciudad Guayana,Bolivarian Republic of Venezuela
PTM,Palmarito Airport,Palmarito,Bolivarian Republic of Venezuela
LRV,Gran Roque Airport,Los Roques,Bolivarian Republic of Venezuela
SBB,Santa Barbara de Barinas Airport,Santa Barbara,Bolivarian Republic of Venezuela
STD,Mayor Buenaventura Vivas International Airport,Santo Domingo,Bolivarian Republic of Venezuela
SNF,Sub Teniente Nestor Arias Airport,San Felipe,Bolivarian Republic of Venezuela
SFD,San Fernando De Apure Airport,Inglaterra,Bolivarian Republic of Venezuela
TUV,Tucupita Airport,Tucupita,Bolivarian Republic of Venezuela
VLN,Arturo Michelena International Airport,Valencia,Bolivarian Republic of Venezuela
VIG,Juan Pablo Perez Alfonso Airport,El Vigia,Bolivarian Republic of Venezuela
VLV,Dr. Antonio Nicolas Briceno Airport,Valera,Bolivarian Republic of Venezuela
BAZ,Barcelos Airport,Barcelos,Federative Republic of Brazil
RBB,Borba Airport,Borba,Federative Republic of Brazil
CAF,Carauari Airport,Carauari,Federative Republic of Brazil
CQS,Costa Marques Airport,Costa Marques,Federative Republic of Brazil
DMT,Diamantino Airport,Diamantino,Federative Republic of Brazil
DNO,Dianopolis Airport,Dianopolis,Federative Republic of Brazil
ARS,Estancia das Cascatas Airport,Aragarcas,Federative Republic of Brazil
ERN,Eirunepe Airport,Eirunepe,Federative Republic of Brazil
CQA,Canarana Airport,Canarana,Federative Republic of Brazil
SXO,Sao Felix do Araguaia Airport,Sao Felix Do Araguaia,Federative Republic of Brazil
GRP,Gurupi Airport,Gurupi,Federative Republic of Brazil
AUX,Araguaina Airport,Araguaina,Federative Republic of Brazil
GGB,Fazenda Olhos D`agua Airport,Agua Boa,Federative Republic of Brazil
HUW,Humaita Airport,Humaita,Federative Republic of Brazil
IPG,Ipiranga Airport,Santo Antonio Do Ica,Federative Republic of Brazil
IDO,Santa Izabel do Morro Airport,Cristalandia,Federative Republic of Brazil
JPR,Ji-Parana Airport,Ji-Parana,Federative Republic of Brazil
JIA,Juina Airport,Juina,Federative Republic of Brazil
JRN,Juruena Airport,Juruena,Federative Republic of Brazil
JTI,Jatai Airport,Jatai,Federative Republic of Brazil
CCX,Caceres Airport,Caceres,Federative Republic of Brazil
CIZ,Coari Airport,Coari,Federative Republic of Brazil
NSR,Serra da Capivara Airport,Sao Raimundo Nonato,Federative Republic of Brazil
TLZ,Catalao Airport,Catalao,Federative Republic of Brazil
LBR,Labrea Airport,Labrea,Federative Republic of Brazil
RVD,General Leite de Castro Airport,Rio Verde,Federative Republic of Brazil
MBZ,Maues Airport,Maues,Federative Republic of Brazil
NVP,Novo Aripuana Airport,Novo Aripuana,Federative Republic of Brazil
AQM,Nova Vida Airport,Ariquemes,Federative Republic of Brazil
BCR,Novo Campo Airport,Boca Do Acre,Federative Republic of Brazil
NQL,Niquelandia Airport,Niquelandia,Federative Republic of Brazil
APS,Anapolis Airport,Anapolis,Federative Republic of Brazil
FBA,Fonte Boa Airport,Fonte Boa,Federative Republic of Brazil
PBV,Porto dos Gauchos Airport,Porto Dos Gauchos,Federative Republic of Brazil
PIN,Parintins Airport,Parintins,Federative Republic of Brazil
PBQ,Pimenta Bueno Airport,Pimenta Bueno,Federative Republic of Brazil
PBX,Fazenda Piraguassu Airport,Porto Alegre Do Norte,Federative Republic of Brazil
AAI,Arraias Airport,Arraias,Federative Republic of Brazil
ROO,Rondonopolis Airport,Rondonopolis,Federative Republic of Brazil
OPS,Presidente Joao Batista Figueiredo Airport,Sinop,Federative Republic of Brazil
STZ,Santa Terezinha Airport,Santa Terezinha,Federative Republic of Brazil
IRZ,Tapuruquara Airport,Santa Isabel Do Rio Negro,Federative Republic of Brazil
TGQ,Tangara da Serra Airport,Tangara Da Serra,Federative Republic of Brazil
AZL,Fazenda Tucunare Airport,Sapezal,Federative Republic of Brazil
QHN,Taguatinga Airport,Taguatinga,Federative Republic of Brazil
SQM,Sao Miguel do Araguaia Airport,Sao Miguel Do Araguaia,Federative Republic of Brazil
MTG,Vila Bela da Santissima Trindade Airport,Vila Bela Da Santissima Trindade,Federative Republic of Brazil
VLP,Vila Rica Airport,Vila Rica,Federative Republic of Brazil
MBK,Regional Orlando Villas Boas Airport,Matupa,Federative Republic of Brazil
NOK,Xavantina Airport,Nova Xavantina,Federative Republic of Brazil
AHL,Aishalton Airport,Aishalton,Republic of Guyana
NAI,Annai Airport,Annai,Republic of Guyana
BCG,Bemichi Airport,Bemichi,Republic of Guyana
BMJ,Baramita Airport,Baramita,Republic of Guyana
GFO,Bartica A Airport,Bartica,Republic of Guyana
GEO,Cheddi Jagan International Airport,Georgetown,Republic of Guyana
OGL,Ogle Airport,Ogle,Republic of Guyana
IMB,Imbaimadai Airport,Imbaimadai,Republic of Guyana
KAR,Kamarang Airport,Kamarang,Republic of Guyana
KRM,Karanambo Airport,Karanambo,Republic of Guyana
KRG,Karasabai Airport,Karasabai,Republic of Guyana
KTO,Kato Airport,Kato,Republic of Guyana
LUB,Lumid Pau Airport,Lumid Pau,Republic of Guyana
LTM,Lethem Airport,Lethem,Republic of Guyana
USI,Mabaruma Airport,Mabaruma,Republic of Guyana
MHA,Mahdia Airport,Mahdia,Republic of Guyana
MYM,Monkey Mountain Airport,Monkey Mountain,Republic of Guyana
MWJ,Matthews Ridge Airport,Matthews Ridge,Republic of Guyana
QSX,New Amsterdam Airport,New Amsterdam,Republic of Guyana
ORJ,Orinduik Airport,Orinduik,Republic of Guyana
PRR,Paruma Airport,Paruma,Republic of Guyana
ANU,V.C. Bird International Airport,St. George,Antigua and Barbuda
BGI,Sir Grantley Adams International Airport,Bridgetown,Barbados
DCF,Canefield Airport,Canefield,Commonwealth of Dominica
DOM,Melville Hall Airport,Marigot,Commonwealth of Dominica
DSD,La Desirade Airport,Grande Anse,Guadeloupe
BBR,Baillif Airport,Basse Terre,Guadeloupe
SFC,St-Francois Airport,St-Francois,Guadeloupe
FDF,Martinique Aime Cesaire International Airport,Fort-de-France,Martinique
SFG,L'Esperance Airport,Grand Case,Saint Martin (French part)
SBH,Gustaf III Airport,Gustavia,Saint Barthélemy
GBJ,Les Bases Airport,Grand Bourg,Guadeloupe
PTP,Pointe-a-Pitre Le Raizet,Pointe-a-Pitre Le Raizet,Guadeloupe
LSS,Terre-de-Haut Airport,Les Saintes,Guadeloupe
GND,Point Salines International Airport,Saint George's,Grenada
CRU,Lauriston Airport,Carriacou Island,Grenada
STT,Cyril E King Airport,Charlotte Amalie,United States of America
STX,Henry E Rohlsen Airport,Christiansted,United States of America
ARE,Antonio/Nery/Juarbe Pol Airport,Arecibo,United States of America
BQN,Rafael Hernandez Airport,Aguadilla,United States of America
CPX,Benjamin Rivera Noriega Airport,Isla De Culebra,United States of America
SIG,Fernando Luis Ribas Dominicci Airport,San Juan,United States of America
MAZ,Eugenio Maria De Hostos Airport,Mayaguez,United States of America
PSE,Mercedita Airport,Ponce,United States of America
NRR,Jose Aponte De La Torre Airport,Ceiba,United States of America
SJU,Luis Munoz Marin International Airport,San Juan,United States of America
VQS,Antonio Rivera Rodriguez Airport,Isla De Vieques,United States of America
SKB,Robert L. Bradshaw International Airport,Basseterre,Saint Kitts and Nevis
NEV,Vance W. Amory International Airport,Charlestown,Saint Kitts and Nevis
SLU,George F. L. Charles Airport,Castries,Saint Lucia
UVF,Hewanorra International Airport,Vieux Fort,Saint Lucia
AUA,Queen Beatrix International Airport,Oranjestad,Aruba
BON,Flamingo International Airport,Kralendijk,"Bonaire, Sint Eustatius and Saba"
CUR,Hato International Airport,Willemstad,Curaçao
EUX,F. D. Roosevelt Airport,Sint Eustatius,"Bonaire, Sint Eustatius and Saba"
SXM,Princess Juliana International Airport,Saint Martin,Sint Maarten (Dutch part)
SAB,Juancho E. Yrausquin Airport,Saba,"Bonaire, Sint Eustatius and Saba"
AXA,Wallblake Airport,The Valley,Anguilla
MNI,John A. Osborne Airport,Gerald's Park,Montserrat
TAB,Tobago-Crown Point Airport,Scarborough,Republic of Trinidad and Tobago
POS,Piarco International Airport,Port of Spain,Republic of Trinidad and Tobago
NGD,Captain Auguste George Airport,Anegada,British Virgin Islands
EIS,Terrance B. Lettsome International Airport,Road Town,British Virgin Islands
VIJ,Virgin Gorda Airport,Spanish Town,British Virgin Islands
SVD,Argyle International Airport,Argyle,Saint Vincent and the Grenadines
BQU,J F Mitchell Airport,Bequia,Saint Vincent and the Grenadines
CIW,Canouan Airport,Canouan,Saint Vincent and the Grenadines
MQS,Mustique Airport,Mustique Island,Saint Vincent and the Grenadines
UNI,Union Island International Airport,Union Island,Saint Vincent and the Grenadines
BDA,L.F. Wade International International Airport,Hamilton,Bermuda
ALA,Almaty International Airport,Almaty,Republic of Kazakhstan
BXH,Balkhash Airport,Balkhash,Republic of Kazakhstan
USJ,Usharal Airport,Usharal,Republic of Kazakhstan
BXJ,Boralday Airport,Aima Ata,Republic of Kazakhstan
TDK,Taldykorgan Airport,Taldy Kurgan,Republic of Kazakhstan
NQZ,Nursultan Nazarbayev International Airport,Astana,Republic of Kazakhstan
KOV,Kokshetau Airport,Kokshetau,Republic of Kazakhstan
PPK,Petropavlosk International Airport,Petropavlosk,Republic of Kazakhstan
DMB,Aulie-ata International Airport,Taraz,Republic of Kazakhstan
CIT,Shymkent Airport,Shymkent,Republic of Kazakhstan
